,Airline,Date,Source,Destination,Stops,Arrival_Time,Dep_Time,Duration,Add_info,Price
0,Air India,"Tue, 23 Nov 2021",Bangalore,New Delhi,Non Stop,20:20,17:20,3h 00m,Free Meal,"3,234"
1,Air India,"Tue, 23 Nov 2021",Bangalore,New Delhi,Non Stop,08:45,05:45,3h 00m,Free Meal,"3,546"
2,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,23:45,18:45,5h 00m,No Meal Fare,"3,546"
3,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,18:10,13:05,5h 05m,No Meal Fare,"3,546"
4,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,20:25,15:20,5h 05m,No Meal Fare,"3,546"
5,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,"00:45
+ 1 day",18:45,6h 00m,No Meal Fare,"3,546"
6,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,22:25,16:20,6h 05m,No Meal Fare,"3,546"
7,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,19:55,13:05,6h 50m,No Meal Fare,"3,546"
8,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,"01:40
+ 1 day",18:40,7h 00m,No Meal Fare,"3,546"
9,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,18:30,11:20,7h 10m,No Meal Fare,"3,546"
10,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,22:35,15:20,7h 15m,No Meal Fare,"3,546"
11,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,23:45,16:20,7h 25m,No Meal Fare,"3,546"
12,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,"07:15
+ 1 day",23:45,7h 30m,No Meal Fare,"3,546"
13,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,17:35,09:50,7h 45m,No Meal Fare,"3,546"
14,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,18:10,10:15,7h 55m,No Meal Fare,"3,546"
15,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,"00:45
+ 1 day",16:20,8h 25m,No Meal Fare,"3,546"
16,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,18:10,09:20,8h 50m,No Meal Fare,"3,546"
17,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,16:10,06:55,9h 15m,No Meal Fare,"3,546"
18,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,22:25,13:05,9h 20m,No Meal Fare,"3,546"
19,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,"07:15
+ 1 day",21:55,9h 20m,No Meal Fare,"3,546"
20,IndiGo,"Tue, 23 Nov 2021",Bangalore,New Delhi,1 Stop,18:30,09:05,9h 25m,No Meal Fare,"3,546"
